case_doc_subject_rf,predicted_material,size
Алтайский край,аудиозапись а харчиков поет высоцкий почему россией правят ж а также тест данной песни начинающаяся со слов нашей русью мы свой дом нарекали и заканчивающаяся словами чтобы не правили россией жиды ,1
Алтайский край,аудиозапись аргентина секс драка полная версия 3 54 ,1
Алтайский край,аудиозапись под названием русский стяг россия моя россия mp3 аудиозапись под названием русский стяг русский нацист mp3 ,1
Алтайский край,аудиозапись под названием скинхед исполнитель коррозия металла ,1
Алтайский край,аудиозапись под названием тимур муцураев 12000 муджахедов mр3 продолжительностью 04 мин 45 сек начинающаяся словами багрово на закате солнце и заканчивающаяся словами все ж покорим йерусалим ,1
Алтайский край,аудиозапись распространенная жуком а п в вконтаке в под псевдонимом антон жук по адресу под названием див русский мороз начинающаяся словами красный снег черный лед и заканчивающаяся словами меньше крови русских солдат ,3
Алтайский край,аудиокомпозиция коррозия металла бей чертей группы коррозия металла размещенная на интернет сайте ,1
Алтайский край,аудиоматериал русский стяг мы идем длительностью 02 минуты 47 секунд начинающийся словами поднимайтесь братья с нами знамя русское и заканчивающийся словами дорогу к стенам древнего кремля мы идем мы идем мы идем пользователем максим шевчук на официальном интернет сайте на веб сервисе сайта ,1
Алтайский край,аудиофайл около рэп русские для русских на сайтах d1 80 d1 8d d0 bf 20 d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d0 b5 20 d0 b4 d0 bb d1 8f 20 d1 80 d1 83 d1 81 d1 81 d0 ва d0 в8 d1 85 1 be d1 80 d0 b5 d0 bf 20 d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d0 b5 20 d0 b4 d0 bb d1 8f 20 d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d1 85 20 d0 bd d0 be d0 bc d0 b5 d1 80 20 d0 b2 d0 be d1 81 d0 b5 d0 bc d1 8c 2 80 d0 b5 d0 bf d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d0 b5 d0 b4 d0 bb d1 8f d1 80 d1 83 d1 81 d1 81 d0 b a d0 b8 d1 85 d0 bd d0 be d0 bc d0 b5 d1 80 d0 b2 d0 be d1 81 d0 b5 d0 bc 3 f3 f1 f1 ea e8 e5 e4 eb ff f0 f3 f1 f1 ea e8 f5 ed ee ec e5 f0 e2 ee f1 e5 ec fc 4 f1 f1 ea e8 e5 e4 eb ff f0 f3 f1 f1 ea e8 f5 5 b8 d0 b5 d0 b4 d0 bb d1 8f d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d1 85 d0 be d0 ba d0 be d0 bb d0 be d1 80 d0 b5 d0 bf 6 7 8 9 be d1 80 d0 b5 d0 вf d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d0 b5 d0 b4 d0 bb d1 8f d1 80 d1 83 d1 81 d1 81 d0 ba d0 b8 d1 85 ,1
Алтайский край,аудиофайл под названием дюшес я рисую белым мелом 14 88 ,1
Алтайский край,аудиофайлы с названиями банда москвы виват россии mp 3 и грот дым mp3 url адрес социальная сеть в контакте ,7
Алтайский край,байкаловым никитой игоревичем в на сергей правый сайта видеофайл дпни кавказцы и русские женщины как хачи относятся к нашим русским женщинам в нашей же стране ,2
Алтайский край,боженковым павлом олеговичем в интернет на следующие материалы 1 видеоролик крэг вечный рай crack eternal paradise файл krek vechnyj raj crack eternal paradise 240 mp4 размером 12 2 мб продолжительностью 04 мин 34 сек 2 аудиозапись коловрат правый скинхед файл kolovrat pravyj skinhed mp3 размером 4 29 мб продолжительностью 04 мин 42 сек 3 аудиозапись велимор россия 88 файл velimor rossiya 88 mp3 размером 4 84 мб продолжительностью 02 мин 06 сек 4 фотоизображение с надписью на этой картинке нет хачей добавь ее себе на стену чтобы хоть где то их не было 5 фотоизображение с надписью покупая у чурок ты оплачиваешь пулю в спину своих детей 6 фотоизображение с надписью с праздником мусульмане 7 фотоизображение с надписью скажи чуркам нет 8 текст под названием десять заповедей о кавказцах 9 фотоизображение с надписью давайте п тъ хачей вместе 10 видеоролик выкинуть чурок предвыборная агитация файл vykinuf churejk predvybornaja agitaciya 240 mp4 размером 3 37 мб продолжительностью 01 мин 27 сек 11 аудиозапись ансамбль христа спасителя и мать сыра земля ломая полумесяц файл ansambl hrista spasitelyai mat syra zemlya lomaya polumesyac тр3 размером 7 06 мб продолжительностью 03 мин 05 сек ,2
Алтайский край,видеозапись в стиле группы кровосток зига rap длительность 2 минуты 58 секунд начинающаяся словами да ты да ты понимаешь что ты п ор несчастный да ты заканчивающаяся словами пока саул покеда зиг хаель ой ля извини ,2
Алтайский край,видеозапись новая нейтрализация педофила из средней азии длительностью 3 мин 33 сек размещенная на момент предъявления заявления в суд в на вконтакте по электронному адресу на которой показан акт избиения представителя из республики узбекистан начинается с кадра на котором представлена надпись начальные слова которой операция по нейтрализация далее следуют кадры с изображением экранов мобильных телефонов марки nokia на которых отображены тексты сообщений между абонентами и кадр с изображением интернет страницы пользователя под именем maksim после чего следуют кадры отражающие переписку двух пользователей maksim и марина ковалева а далее появляется кадр на котором на черном фоне красными буквами имеется надпись при встрече педофил идти на мирный разговор отказался после указанного кадра с надписью появляется изображение группы молодых людей и молодого человека неславянской внешности который держит в руках букет цветов завернутый в лист бумаги светлого цвета группа молодых людей из четырех человек окружают его берут за руки отнимают букет и ведут вдоль дороги периодически нанося ему удары и заламывая руки затем останавливаются окружают потерпевшего и некоторые из них начинают наносить ему удары руками и ногами по различным частям тела при этом в кадре появляется девушка в бежевом пуховике которая пытается загородить потерпевшего но ее отстраняют продолжая наносить удары потерпевшему после этого молодого человека отбрасывают к автомашине синего цвета и более телесные повреждения последнему не причиняют видеозапись завершается надписью на черном фоне начальные слова которой так будет с ,1
Алтайский край,видеозапись под названием бабушка скинхед mp 4 продолжительностью 10мин 09 сек начинающаяся со слов здрасте бабуль а чего продаете заканчивающаяся словами вот так русские люди должны бороться за свои права размещенная в по адресам d0 b4 z video165103565_170922862,2
Алтайский край,видеозапись тимур муцураев иерусалим 1998 г длительностью 9 минут 37 секунд размещенная на по электронному адресу ,1
Алтайский край,видеоклип последнее интервью приморских партизан в международной компьютерной на ,2
Алтайский край,видеоматериал запрещенная на тв социальная реклама в 2010 2 в глобальной на на пользователя под ником сергей сопов ,1
Алтайский край,видеоматериал перевод нашиды ахи анта хьуррун брат ты свободен на е в вконтакте ,1
Алтайский край,видеоматериал под названием беспредел кавказоидов в хабаровске также распространяется под названием беспредел в хабаровске продолжительностью 4 мин 33 сек начинающийся видеофрагментами применения насилия и словами убери убери заканчивающийся фразами кавказцы вместе понятно азербайджан аллаху акбар ,3
Алтайский край,видеоматериал роисся 88ost hd качество наш любимый фильм содержащий призывы к осуществлению экстремистской деятельности ,1
Алтайский край,видеоматериал тест на искушение христианства правдозор против псевдохристианства уже запрещенный ролик ,1
Алтайский край,видеоролик коловрат кровь патриотов blood of patriots в интернет ,1
Алтайский край,видеоролик коловрат московские бритоголовые продолжительностью 2 минуты 28 секунд ,1
Алтайский край,видеоролик обнаруженный в глобальной телекоммуникационной интернет под названием мы вас победим иншааллах расположенный по ,2
Алтайский край,видеоролик под названием русская революция запрещенный на tv ролик электронный адрес на личной пользователя в вконтакте аккаунт с профилем эдуард руднев ,1
Алтайский край,видеоролик продолжительностью 0 минут 27 секунд с заглавием чурки мы приехали в москву порядок наводить ,1
Алтайский край,видеоролик россия для русских размером 4 66 мб продолжительностью 01 мин 52 сек видеоролик хорсс россия для русских размером 8 65 мб продолжительностью 03 мин 16 сек видеоролик россия для русских размером 6 45 мб продолжительностью 02 мин 23 сек видеоролик а ну ка давай ка размером 499 кб продолжительностью 00 мин 08 сек ,8
Алтайский край,видеоролик самоубийство белой расы ,1
Алтайский край,видеоролик ф волков хоронят скина mр 4 он же фёдор волков хоронят скина смерть скина продолжительностью 02 минуты 05 секунд начинающийся со слов везут хоронят плачут мать отец и заканчивающийся словами твой черед пришел отомстить в информационно телекоммуникационной интернет по адресам url 1a2cp06np1м ,1
Алтайский край,видеоролики видеоматериалы золотарёвым а с в vkontakte ru на под ником толян мясной золотарёв id58050453 под названием 14 88flv видеофайл размером 7 61 мб длительностью 02 мин 57 сек format 18 бритый и злой flv видеофайл размером 9 97 мб длительностью 03 мин 11 сек россия для русских flv видеофайл размером 6 09 мб длительностью 02 мин 21 сек скины какие они есть flv видеофайл размером 11 9 мб длительностью 03 мин 41 сек скины так будет с каждым flv видеофайл размером 6 03 мб длительностью 02 мин 20 сек на dvd диске ,1
Алтайский край,видеофайл бабушка отматерила чурку продолжительностью 1 мин начинающийся со слов я тебя ведь зарежу и заканчивающийся словами убью ,15
Алтайский край,видеофайл видео док фильм русское сопротивление по ,1
Алтайский край,видеофайл застрахуй братуху в на в вконтакте по адресу ,16
Алтайский край,видеофайл россия для русских мы победим кавказцы проиграют эту войну продолжительностью 01 мин 54 сек который состоит из видеоряда и надписей танцующий кадыров р а и надпись они объявляют нам джихад а им дают звания героев россии вы ответите за смерть наших парней мы победим в в вконтакте на персональной пользователя под ником алексей пугачев а также по электронному адресу ,2
Алтайский край,видеофайл с названием банда москвы виват россия video41789778_161018550 в международной компьютерной интернет на информационной пользователя александр кадынцев ,1
Алтайский край,видеофильм проклятие турции полная версия на е ,1
Алтайский край,изображение трех бритоголовых мужчин одетых в массивные черные ботинки светлые брюки расположенные по кругу спиной друг к другу и надписью вместе мы сила да здравствует наш народ ,1
Алтайский край,книга палестина нет чечня текст р ибрагимов элиста заор нпп джангар 2014 152 с апелляционное определение судебной коллегии по гражданским делам верховного суда чеченской республики от 12 10 2017 ,1
Алтайский край,листовка с текстом 282 запрещает быть русским ,1
Алтайский край,материал аудиозапись группы w c d project под названием чумачечные скины продолжительностью 03 мин 17 сек начинающуюся словами пришли и оторвали голову всем заканчивающаяся словами ты ры ты ты ты ты ты ры ты ,1
Алтайский край,материалы в глобальной информационной интернет в форме видеообращений с наименованием файлов pochemy mi voyuem ,1
Алтайский край,материалы в информационно телекоммуникационной на личной пользователя под псевдонимом илья толмачев по под названием д и в mein kampf начинающийся словами блицкриг тотальная смерть и заканчивающийся словами sieg hail main kampf total destruction luftwaffe berreiten napalm гипоталамус бритоголовые сделайте черного начинающийся словами выйдя из дома наточи свой нож и заканчивающийся словами фарш фарш фарш х4 доберман убей жида начинающийся словами сионисты зомбируют нас превращая в голодных рабов и заканчивающийся словами они везде они в тебе в твоей загубленной судьбе ,1
Алтайский край,материалы расположенные в сайта вконтакте на в аудиофайлах коловрат в нашем доме появился замечательный скинхед мр 3,2
Алтайский край,музыкальное произведение аудиозапись див террор продолжительностью около 4 минут 32 секунд ,1
Алтайский край,музыкальное произведение аудиозапись русский стяг роа продолжительностью около 5 минут 28 секунд ,1
Алтайский край,музыкальное произведение группы ансамбль христа спасителя и мать сыра земля убивай нецензурная лексика начинающееся со слов нецензурная лексика смотрят в тебя из автобусов нецензурная лексика склабятся из телевизоров и заканчивающееся словами какая прекрасная песня нету на них креста и нету у них христа общей продолжительностью звучания 01 мин 45 сек ,1
Алтайский край,музыкальные произведения аудиозаписи зига зага пам пам не покупай у чурок группы коловрат ,2
Алтайский край,музыкальные произведения праворадикальной группы p s 7 62 песни имеющие названия белая гвардия властелины руси единство информация к размышлению мой город ни огонь ни вода партизанская просьба священная расовая война собирательный образ сопротивление социум тем кто помнит улица террориста кадырова фашизм не пройдет черный флаг право ,1
Алтайский край,номер газеты евпатий коловрат 45 за январь февраль 2006 года ,1
Алтайский край,петровым а н в на интернет страницах 99631580_165101763 видеоматериалы нейтрализация таджика педофила файл nejtralizaciya tadzhika pedofila s pb 240 размером 19 3 мб узбек в помойке 88 файл uzbek v pomojke 88 360 размером 1 81 мб а также аудиозапись 14 88 россия для русских файл 14 88 rossiya dlya russkih размером 2 94 мб ,1
Алтайский край,размёщенные кашиным алексеем сергеевичем под именем алексей кашин в интернет в вконтакте на группы rus 39 комментарий евгений убивать чурок надо к изображению на котором имеется надпись мама папа я беременна мы поженимся и уедем на кавказ помни одна чернильница убивает наследие тысячелетнего народа видеоматериал скинхед и видеоматериал с нецензурным названием скинхеды п т абреков ,1
Алтайский край,статья покажи мне свой язык и я скажу кто ты опубликованная в газете взятка 5 29 от 04 05 2011 года апелляционное определение судебной коллегии по гражданским делам верховного суда чувашской республики от 25 07 2012 ,1
Алтайский край,текст музыкальной композиции группы коловрат наши ultras в вконтакте ,1
Алтайский край,текст песни бритоголовые москвички исполнителем которой является группа шмели размещенной на ,1
Алтайский край,текст песни группы коловрат под названием красный террор автором и исполнителем которой является герасимов денис андреевич ,1
Алтайский край,текст песни группы коловрат под названием московские бритоголовые автором и исполнителем которой является герасимов денис андреевич ,1
Алтайский край,текст песни группы коловрат под названием нигер убирайся вон автором и исполнителем которой является герасимов денис андреевич ,1
Алтайский край,текст песни группы коловрат под названием честь и кровь автором и исполнителем которой является герасимов денис андреевич ,2
Алтайский край,текст песни мой дед был штурмфюрер сс группы вандал на информационном ресурсе ссылка url ,1
Алтайский край,текст песни реп это кал рок группы коррозия металла начинающийся со слов эй нигер рэп это кал и заканчивающийся словами п здец гопоте п здец гопоте п здец гопоте на момент предъявления заявления в суд в на по электронному адресу kal htmls ,1
Алтайский край,текст песни русский порядок музыкальной группы циклон б изложенной на аудионосителе кассете ,1
Алтайский край,текст трех идентичных друг другу по содержанию аудиозаписей под названием инструкция по выживанию убить жида длительностью 3 мин 07 сек 3 мин 14 сек и 3 мин 19 сек размещенных в на vk com по электронному адресу по выживанию убить жида c section audio ,1
Амурская область, 12 песня о аллах мир окутан страшной мглой ,1
Амурская область, аудиофайл монгол шуудан бей жидов спасай россию 05 мая 2010 г продолжительностью 01 минута 41 секунда,1
Амурская область, банда москвы а также аудиозапись аудиозапись 1 taz грачи улетели хачи прилетели ,4
Амурская область, видеозапись грот и 25 17 просыпайтесь ,16
Амурская область, дым из трубы wmv,1
Амурская область, текстовая часть аудиозаписи коловрат хоронят скина длительностью 02 минуты 09 секунд начинающаяся словами несут хоронят плачут мать отец и заканчивающаяся словами твой черёд пришёл отомстить размещенная пользователем владимир мартынов на официальном интернет сайте на веб сервисе сайта вконтакте ,2
Амурская область,аудиозапись 25 17 будь белым размещенная на id15338492 вконтакте ,3
Амурская область,аудиофайл аудиозапись хор сс россия для русских mp3 в в вконстакте на интернет странице пользователя роман пантюхов по адресу 153151740 ,1
Амурская область,аудиофайл под названием дюшес я рисую белым мелом 14 88 ,2
Амурская область,аудиофайлы с названиями банда москвы виват россии mp 3 и грот дым mp3 url адрес социальная сеть в контакте ,19
Амурская область,аудиофайлы с названиями коловрат великие русы mp 3 и коловрат анти антифа mp3 url адрес социальная сеть в контакте ,1
Амурская область,видеозапись тимур муцураев иерусалим 1998 г длительностью 9 минут 37 секунд размещенная на по электронному адресу ,1
Амурская область,видеоролики хорсс mein kampf mp4 хорсс моя борьба mp4 аудиофайлы коловрат правый скинхед mp3 коловрат и коррозия метала белые волки mp3 географические папка 00 файл 58 папка 00 файл 15 в в вконтакте ,1
Амурская область,исключен,1
Амурская область,материалы распространенные мишуровым в г в интернет обращение к русскому народу после этот цирк жидовского абсурда названный ими выборы резидента в россии наивность русского народа бей чурок пока другие руководят процессом думай русский думай неужели допустим не страшись доколе что делать знай и помни за меч обращение ко всем вам вернем власть русским вернем россию русским пришло время платить за выборы верь 6 мая в москве прошел марш миллионов вкратце жиды на руси что происходит в россии ,2
Амурская область,музыкальное произведение радикальный голос группы коловрат ,3
Амурская область,музыкальное произведение убей мента группы психея ,2
Амурская область,музыкальные произведения аудиозаписи зига зага пам пам не покупай у чурок группы коловрат ,2
Амурская область,пулькиным д н в интернет на видеозапись черная коза файл chernaya koza flv аудиозапись 1488 я рисую белым мелом 14 88 ya risuyubelym melom 14_88 mp ,1
Амурская область,текст аудиофайла 1488 я рисую белым мелом 14_18 длительностью 2 мин 53 сек расположенный по адресу ,2
Амурская область,текст песни группы коловрат под названием кровь патриотов автором и исполнителем которой является герасимов денис андреевич ,1
Амурская область,текст песни группы коловрат под названием честь и кровь автором и исполнителем которой является герасимов денис андреевич ,2
Амурская область,фильм иерусалим обещание небес содержащийся на двд диске ,1
Архангельская область, 31 песня спустилась тьма безмолвие в горах ,1
Архангельская область, аудиофайл монгол шуудан бей жидов спасай россию 05 мая 2010 г продолжительностью 01 минута 41 секунда,1
Архангельская область, аудиофайл продолжительностью 6 минут 17 секунд с названием темнозорь герои роа ,1
Архангельская область, аудиофайлы banda moskvy immigrant коловрат наш символ свастика коловрат слава россии онархея 88 юрий элитно правый бритоголовый и макс ххх эл славянский корпус я русский кровь рейха умри позер сидящий на форумах онархея 88 жидок пархатый кровь рейха моя толерантность ,1
Архангельская область, аудиофайлы тимур муцураев галерея памяти ,1
Архангельская область, благословение на становление собора вольных объединенных держав свод духовно родовой державы русь державы начинающегося словами всечестные архипастыри и пастыри чада церковные братья и сестры и заканчивающееся словами и помните чудовищная ложь нужна тому кто собственных чудовищность деяний оправдать стремится постановление центрального районного суда г кемерово от 24 11 2014 ,2
Архангельская область, видеозапись грот и 25 17 просыпайтесь ,2
Архангельская область, где вы проданные крылья джихада ,1
Архангельская область, имеются высказывания побудительного характера призывающие к враждебным действиям одну группу лиц по отношению к другой группе лиц выделенных по признакам национальности а также высказывания по смысловому пониманию возбуждающие ненависть или вражду по признакам национальности ,1
Архангельская область, мочи хачей понаехали тут ,1
Архангельская область, припомним жуликам и ворам их манифест 2002 ,1
Архангельская область, сайт блог под названием рай под тенью сабель ,1
Архангельская область, текст песни тимур муцураев галерея памяти шахиды ,1
Архангельская область,аудио ролик тимур муцураев_ _ иншааллаh сады нас ждут длительностью 6 минут 26 секунд в разделе аудиозаписи на пользователя в вконтакте глеб кармацких по адресу ,1
Архангельская область,аудиовизуальное издание cd диск с названием русское поле слова исполнены синим и красным цветами диск находится в коробке на которой изображены две фотографии и надписи на черном фоне росн представляет документальный фильм русое поле содомиты поход на россию чеченский след ,2
Архангельская область,аудиозапись текста песни не покупайте у чурок музыкальной группы коловрат ,1
Архангельская область,аудиоматериал под названием мочи чурок исполнителя суровый мс ,1
Архангельская область,аудиоматериал русский стяг мы идем длительностью 02 минуты 47 секунд начинающийся словами поднимайтесь братья с нами знамя русское и заканчивающийся словами дорогу к стенам древнего кремля мы идем мы идем мы идем пользователем максим шевчук на официальном интернет сайте на веб сервисе сайта ,1
Архангельская область,аудиофайлы с названиями банда москвы виват россии mp 3 и грот дым mp3 url адрес социальная сеть в контакте ,1
Архангельская область,боженковым павлом олеговичем в интернет на следующие материалы 1 видеоролик крэг вечный рай crack eternal paradise файл krek vechnyj raj crack eternal paradise 240 mp4 размером 12 2 мб продолжительностью 04 мин 34 сек 2 аудиозапись коловрат правый скинхед файл kolovrat pravyj skinhed mp3 размером 4 29 мб продолжительностью 04 мин 42 сек 3 аудиозапись велимор россия 88 файл velimor rossiya 88 mp3 размером 4 84 мб продолжительностью 02 мин 06 сек 4 фотоизображение с надписью на этой картинке нет хачей добавь ее себе на стену чтобы хоть где то их не было 5 фотоизображение с надписью покупая у чурок ты оплачиваешь пулю в спину своих детей 6 фотоизображение с надписью с праздником мусульмане 7 фотоизображение с надписью скажи чуркам нет 8 текст под названием десять заповедей о кавказцах 9 фотоизображение с надписью давайте п тъ хачей вместе 10 видеоролик выкинуть чурок предвыборная агитация файл vykinuf churejk predvybornaja agitaciya 240 mp4 размером 3 37 мб продолжительностью 01 мин 27 сек 11 аудиозапись ансамбль христа спасителя и мать сыра земля ломая полумесяц файл ansambl hrista spasitelyai mat syra zemlya lomaya polumesyac тр3 размером 7 06 мб продолжительностью 03 мин 05 сек ,2
